Age,Job,Marital_Status,Education,Default_Credit,Housing_Loan,Personal_Loan,Subscribed
34,services,married,Secondary_Education,no,no,no,no
47,technician,single,Secondary_Education,no,no,no,no
51,retired,married,Professional_Education,no,no,no,no
47,blue-collar,married,Primary_Education,no,no,no,no
56,technician,married,Primary_Education,no,yes,no,no
53,admin.,married,Secondary_Education,no,no,no,no
36,blue-collar,married,Secondary_Education,no,yes,no,no
42,blue-collar,divorced,Secondary_Education,no,yes,no,no
44,blue-collar,divorced,Primary_Education,no,no,no,no
39,housemaid,married,Secondary_Education,no,yes,no,yes
37,admin.,single,Secondary_Education,no,yes,yes,no
36,services,married,Secondary_Education,no,no,no,no
42,management,divorced,Tertiary_Education,no,yes,no,no
31,admin.,married,Secondary_Education,no,yes,yes,no
45,blue-collar,married,Primary_Education,no,yes,no,no
37,technician,single,Professional_Education,no,yes,no,no
47,self-employed,married,Professional_Education,no,no,no,no
49,blue-collar,divorced,Secondary_Education,no,no,yes,no
36,admin.,married,Tertiary_Education,no,yes,no,no
35,services,divorced,Secondary_Education,no,no,no,no
42,admin.,married,Secondary_Education,no,yes,no,no
57,housemaid,divorced,Primary_Education,no,yes,yes,no
42,admin.,married,Tertiary_Education,no,yes,no,no
41,blue-collar,married,Primary_Education,no,yes,no,no
54,management,divorced,Tertiary_Education,no,yes,no,no
27,admin.,single,Tertiary_Education,no,no,no,no
36,admin.,married,Secondary_Education,no,no,no,no
33,admin.,divorced,Secondary_Education,no,no,no,no
56,retired,married,Primary_Education,no,no,no,no
42,blue-collar,married,Secondary_Education,no,no,no,no
43,services,married,Secondary_Education,no,yes,no,no
54,management,single,Secondary_Education,no,yes,no,no
53,admin.,single,Primary_Education,no,yes,yes,no
54,technician,married,Professional_Education,no,yes,yes,no
40,housemaid,single,Professional_Education,no,no,no,no
26,admin.,single,Tertiary_Education,no,yes,no,no
33,admin.,married,Secondary_Education,no,no,no,no
36,admin.,married,Secondary_Education,no,no,no,no
29,services,single,Secondary_Education,no,yes,no,no
36,blue-collar,married,Secondary_Education,no,yes,no,no
35,management,married,Secondary_Education,no,yes,no,no
50,self-employed,single,Tertiary_Education,no,no,yes,no
49,entrepreneur,married,Secondary_Education,no,yes,no,no
36,blue-collar,single,Secondary_Education,no,yes,yes,no
32,services,single,Secondary_Education,no,yes,no,no
49,admin.,married,Secondary_Education,no,no,no,no
58,blue-collar,divorced,Primary_Education,no,yes,no,no
52,technician,married,Secondary_Education,no,yes,no,no
50,services,divorced,Professional_Education,no,no,no,no
33,entrepreneur,married,Tertiary_Education,no,yes,no,no
57,blue-collar,married,Primary_Education,no,no,no,no
55,technician,married,Professional_Education,no,no,no,no
38,management,married,Tertiary_Education,no,no,no,no
38,services,married,Secondary_Education,no,yes,no,no
53,admin.,married,Tertiary_Education,no,yes,no,no
43,unemployed,single,Tertiary_Education,no,no,no,no
36,blue-collar,single,Secondary_Education,no,no,no,no
32,blue-collar,married,Secondary_Education,no,no,no,no
33,services,married,Primary_Education,no,no,no,no
58,entrepreneur,married,Primary_Education,no,yes,no,no
57,management,married,Tertiary_Education,no,yes,no,no
45,technician,married,Secondary_Education,no,yes,no,no
46,admin.,married,Tertiary_Education,no,yes,no,no
36,technician,married,Tertiary_Education,no,no,no,no
41,self-employed,married,Secondary_Education,no,yes,no,no
57,admin.,divorced,Secondary_Education,no,no,no,no
56,management,divorced,Secondary_Education,no,no,no,no
37,blue-collar,married,Secondary_Education,no,no,no,no
37,blue-collar,married,Secondary_Education,no,no,yes,no
46,admin.,single,Secondary_Education,no,yes,no,no
22,blue-collar,single,Secondary_Education,no,yes,no,no
43,services,married,Secondary_Education,no,no,no,no
41,technician,married,Primary_Education,no,yes,no,no
38,admin.,single,Tertiary_Education,no,no,no,no
33,admin.,married,Secondary_Education,no,no,no,no
49,admin.,married,Tertiary_Education,no,yes,yes,no
33,admin.,married,Secondary_Education,no,yes,no,no
34,management,single,Tertiary_Education,no,no,no,no
41,self-employed,married,Tertiary_Education,no,no,no,no
44,services,married,Secondary_Education,no,yes,no,yes
35,admin.,married,Tertiary_Education,no,no,no,no
42,admin.,married,Secondary_Education,no,no,no,no
45,admin.,married,Secondary_Education,no,no,no,no
36,technician,married,Professional_Education,no,no,no,no
29,blue-collar,divorced,Primary_Education,no,no,no,no
41,self-employed,married,Tertiary_Education,no,yes,yes,no
52,services,single,Secondary_Education,no,no,no,no
42,entrepreneur,married,Tertiary_Education,no,yes,no,no
52,services,divorced,Primary_Education,no,no,no,no
39,admin.,married,Secondary_Education,no,yes,no,no
36,services,married,Secondary_Education,no,no,yes,no
41,admin.,married,Secondary_Education,no,no,no,no
55,technician,married,Primary_Education,no,no,yes,no
30,blue-collar,married,Secondary_Education,no,no,no,no
27,services,married,Secondary_Education,no,yes,no,no
34,technician,single,Tertiary_Education,no,yes,no,no
43,entrepreneur,married,Primary_Education,no,no,no,no
49,blue-collar,married,Secondary_Education,no,no,no,no
58,management,married,Primary_Education,no,no,no,no
43,technician,married,Professional_Education,no,yes,no,no
43,self-employed,divorced,Tertiary_Education,no,no,no,no
30,self-employed,single,Tertiary_Education,no,yes,no,no
27,services,single,Professional_Education,no,yes,yes,no
37,technician,married,Professional_Education,no,yes,no,no
46,housemaid,married,Secondary_Education,no,yes,no,no
35,blue-collar,married,Professional_Education,no,no,no,no
47,admin.,divorced,Tertiary_Education,no,no,no,no
26,housemaid,married,Tertiary_Education,no,no,no,no
45,management,married,Tertiary_Education,no,yes,no,no
34,admin.,married,Secondary_Education,no,no,no,no
42,technician,married,Professional_Education,no,no,no,yes
38,blue-collar,married,Primary_Education,no,no,yes,no
60,management,married,Tertiary_Education,no,no,no,no
48,admin.,married,Tertiary_Education,no,yes,no,no
47,technician,married,Professional_Education,no,yes,no,no
40,admin.,married,Secondary_Education,no,no,no,no
48,unemployed,single,Primary_Education,no,yes,no,no
54,housemaid,married,Primary_Education,no,no,no,no
40,blue-collar,married,Primary_Education,no,no,yes,no
42,technician,divorced,Secondary_Education,no,no,no,no
52,self-employed,married,Tertiary_Education,no,yes,no,no
31,blue-collar,single,Secondary_Education,no,yes,no,no
32,services,married,Secondary_Education,no,no,no,no
44,admin.,married,Secondary_Education,no,yes,yes,no
52,admin.,married,Primary_Education,no,yes,no,no
42,management,married,Tertiary_Education,no,no,no,yes
43,management,married,Professional_Education,no,yes,no,no
31,admin.,divorced,Secondary_Education,no,no,no,no
57,blue-collar,divorced,Primary_Education,no,no,no,no
57,retired,married,Tertiary_Education,no,no,no,no
38,services,married,Secondary_Education,no,yes,no,no
42,retired,married,Primary_Education,no,no,no,no
35,technician,married,Professional_Education,no,yes,no,no
34,technician,married,Tertiary_Education,no,yes,no,no
41,services,married,Secondary_Education,no,no,no,no
38,technician,married,Professional_Education,no,yes,no,no
53,admin.,married,Professional_Education,no,yes,no,no
33,admin.,married,Secondary_Education,no,no,no,no
45,entrepreneur,married,Tertiary_Education,no,no,no,no
40,technician,single,Tertiary_Education,no,no,no,no
33,technician,married,Tertiary_Education,no,yes,no,no
48,blue-collar,married,Primary_Education,no,no,no,no
43,entrepreneur,married,Secondary_Education,no,no,no,no
37,management,married,Tertiary_Education,no,yes,no,no
50,services,married,Secondary_Education,no,yes,yes,no
59,entrepreneur,married,Secondary_Education,no,yes,no,no
52,blue-collar,married,Primary_Education,no,no,no,no
38,blue-collar,married,Secondary_Education,no,no,no,no
39,blue-collar,married,Primary_Education,no,yes,no,no
39,blue-collar,married,Primary_Education,no,no,no,no
38,admin.,married,Secondary_Education,no,no,no,no
30,services,single,Secondary_Education,no,no,no,no
38,admin.,divorced,Secondary_Education,no,yes,yes,no
39,technician,divorced,Tertiary_Education,no,no,no,no
44,admin.,married,Secondary_Education,no,no,no,no
36,admin.,married,Secondary_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,no,no,no
35,blue-collar,married,Secondary_Education,no,no,no,no
41,technician,married,Secondary_Education,no,no,no,no
35,admin.,single,Secondary_Education,no,yes,yes,no
33,self-employed,married,Tertiary_Education,no,no,no,no
32,entrepreneur,single,Tertiary_Education,no,yes,no,no
30,self-employed,single,Secondary_Education,no,yes,no,no
43,admin.,married,Professional_Education,no,yes,yes,no
46,admin.,married,Tertiary_Education,no,no,no,no
35,admin.,divorced,Secondary_Education,no,no,yes,no
34,admin.,single,Tertiary_Education,no,yes,yes,no
39,admin.,single,Tertiary_Education,no,no,no,no
42,entrepreneur,married,Primary_Education,no,no,no,no
57,retired,married,Tertiary_Education,no,yes,no,no
40,technician,married,Primary_Education,no,no,yes,no
42,blue-collar,married,Secondary_Education,no,no,yes,yes
40,technician,married,Primary_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,yes,yes,no
35,admin.,married,Primary_Education,no,yes,no,no
23,admin.,single,Tertiary_Education,no,no,no,no
45,housemaid,married,Secondary_Education,no,no,no,no
42,admin.,married,Secondary_Education,no,no,no,no
41,admin.,divorced,Secondary_Education,no,no,no,no
46,management,married,Tertiary_Education,no,no,no,no
30,blue-collar,married,Primary_Education,no,no,no,no
24,technician,single,Professional_Education,no,no,yes,no
34,admin.,single,Tertiary_Education,no,no,yes,no
59,blue-collar,married,Primary_Education,no,yes,no,no
32,technician,married,Professional_Education,no,no,no,no
33,technician,married,Professional_Education,no,yes,no,no
32,admin.,married,Tertiary_Education,no,no,no,no
46,management,married,Tertiary_Education,no,no,no,no
57,technician,married,Professional_Education,no,yes,no,no
42,technician,married,Secondary_Education,no,no,no,no
48,admin.,married,Professional_Education,no,yes,no,no
34,services,married,Secondary_Education,no,no,no,no
32,admin.,single,Tertiary_Education,no,yes,yes,no
48,blue-collar,married,Secondary_Education,no,no,no,no
47,blue-collar,married,Secondary_Education,no,no,no,no
32,admin.,single,Tertiary_Education,no,yes,no,no
32,admin.,single,Tertiary_Education,no,no,no,no
36,services,married,Secondary_Education,no,no,no,no
50,services,married,Secondary_Education,no,no,no,no
46,blue-collar,married,Primary_Education,no,yes,no,no
41,admin.,married,Secondary_Education,no,no,no,no
43,blue-collar,single,Primary_Education,no,no,no,no
51,management,married,Tertiary_Education,no,yes,no,no
38,admin.,married,Tertiary_Education,no,yes,no,no
41,technician,married,Primary_Education,no,yes,no,no
52,blue-collar,married,Primary_Education,no,no,no,no
37,technician,married,Professional_Education,no,yes,no,no
41,admin.,married,Secondary_Education,no,yes,no,no
46,admin.,divorced,Tertiary_Education,no,yes,yes,no
47,technician,married,Professional_Education,no,no,no,no
35,technician,married,Professional_Education,no,no,no,no
46,blue-collar,married,Secondary_Education,no,yes,no,no
30,technician,married,Professional_Education,no,no,no,no
35,services,single,Primary_Education,no,no,no,no
40,technician,married,Professional_Education,no,no,no,no
34,technician,married,Tertiary_Education,no,no,no,no
30,admin.,single,Tertiary_Education,no,no,no,no
38,services,married,Primary_Education,no,no,no,no
55,management,single,Primary_Education,no,no,no,no
45,technician,single,Professional_Education,no,yes,no,no
36,admin.,married,Tertiary_Education,no,yes,yes,no
32,admin.,single,Tertiary_Education,no,no,no,no
55,management,divorced,Tertiary_Education,no,yes,no,no
29,admin.,married,Secondary_Education,no,yes,no,no
34,blue-collar,married,Primary_Education,no,yes,no,no
36,technician,single,Professional_Education,no,no,no,no
30,management,single,Tertiary_Education,no,yes,no,no
33,housemaid,divorced,Tertiary_Education,no,no,no,no
37,blue-collar,married,Secondary_Education,no,no,no,no
33,blue-collar,married,Secondary_Education,no,no,no,no
32,housemaid,married,Secondary_Education,no,yes,no,no
32,housemaid,married,Secondary_Education,no,no,no,no
39,blue-collar,married,Secondary_Education,no,no,yes,no
33,services,married,Secondary_Education,no,no,no,no
33,services,married,Primary_Education,no,no,no,no
33,self-employed,single,Tertiary_Education,no,no,no,no
43,services,married,Secondary_Education,no,no,yes,no
27,technician,married,Secondary_Education,no,no,yes,no
47,admin.,divorced,Tertiary_Education,no,yes,no,no
31,admin.,single,Tertiary_Education,no,no,no,no
32,blue-collar,married,Secondary_Education,no,yes,no,no
54,admin.,married,Secondary_Education,no,no,no,no
44,admin.,married,Secondary_Education,no,yes,no,no
46,admin.,married,Secondary_Education,no,no,yes,no
45,services,married,Secondary_Education,no,yes,no,no
43,admin.,married,Professional_Education,no,no,yes,no
56,management,married,Tertiary_Education,no,yes,no,no
47,entrepreneur,married,Professional_Education,no,no,no,no
36,self-employed,married,Tertiary_Education,no,no,no,no
46,services,married,Secondary_Education,no,no,no,no
38,blue-collar,married,Secondary_Education,no,yes,no,no
27,admin.,single,Secondary_Education,no,yes,no,no
46,management,married,Tertiary_Education,no,yes,no,no
40,admin.,divorced,Tertiary_Education,no,yes,no,no
33,management,single,Tertiary_Education,no,no,no,no
54,retired,married,Secondary_Education,no,yes,no,no
49,housemaid,married,Primary_Education,no,no,no,no
40,entrepreneur,married,Secondary_Education,no,no,no,no
51,self-employed,married,Secondary_Education,no,yes,no,no
38,self-employed,divorced,Secondary_Education,no,yes,no,no
52,self-employed,married,Tertiary_Education,no,no,no,no
26,unemployed,single,Secondary_Education,no,yes,no,no
35,admin.,married,Tertiary_Education,no,yes,yes,no
51,admin.,married,Tertiary_Education,no,no,no,no
36,blue-collar,married,Secondary_Education,no,yes,no,no
30,admin.,married,Tertiary_Education,no,no,no,no
43,services,married,Secondary_Education,no,no,no,no
40,technician,married,Secondary_Education,no,no,no,no
45,technician,married,Tertiary_Education,no,no,no,no
56,retired,married,Secondary_Education,no,no,no,no
46,services,married,Primary_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,yes,no,no
42,admin.,married,Tertiary_Education,no,yes,no,no
56,blue-collar,married,Primary_Education,no,no,no,no
43,entrepreneur,married,Primary_Education,no,yes,no,no
34,blue-collar,married,Primary_Education,no,no,no,no
38,services,married,Secondary_Education,no,yes,no,no
40,technician,married,Secondary_Education,no,no,no,no
38,admin.,married,Secondary_Education,no,no,no,no
48,entrepreneur,married,Tertiary_Education,no,yes,no,no
24,technician,single,Professional_Education,no,no,no,no
31,admin.,single,Secondary_Education,no,yes,yes,no
56,retired,married,Primary_Education,no,no,no,no
49,admin.,married,Secondary_Education,no,no,no,no
47,unemployed,divorced,Tertiary_Education,no,no,no,no
48,admin.,divorced,Secondary_Education,no,no,no,no
55,housemaid,married,Primary_Education,no,yes,yes,no
44,technician,single,Professional_Education,no,yes,yes,no
46,blue-collar,married,Secondary_Education,no,no,yes,no
36,services,married,Secondary_Education,no,yes,no,no
29,admin.,single,Tertiary_Education,no,no,no,no
31,technician,single,Professional_Education,no,yes,no,no
30,services,divorced,Secondary_Education,no,no,yes,no
36,blue-collar,married,Primary_Education,no,yes,no,no
60,blue-collar,married,Professional_Education,no,no,no,no
36,admin.,married,Tertiary_Education,no,yes,no,no
32,services,married,Secondary_Education,no,no,no,no
30,services,married,Tertiary_Education,no,yes,no,no
46,blue-collar,married,Primary_Education,no,no,no,no
43,unemployed,married,Primary_Education,no,no,no,no
37,services,married,Secondary_Education,no,yes,no,no
38,technician,married,Professional_Education,no,no,no,no
31,technician,married,Tertiary_Education,no,yes,no,no
44,admin.,married,Tertiary_Education,no,no,no,no
43,technician,married,Professional_Education,no,no,no,no
38,housemaid,married,Secondary_Education,no,no,no,no
41,blue-collar,married,Primary_Education,no,yes,no,no
32,admin.,married,Secondary_Education,no,yes,no,no
43,technician,married,Primary_Education,no,yes,no,no
36,technician,divorced,Professional_Education,no,no,no,no
35,blue-collar,single,Primary_Education,no,yes,no,no
50,self-employed,married,Tertiary_Education,no,no,no,no
38,blue-collar,married,Secondary_Education,no,yes,no,no
50,technician,married,Professional_Education,no,yes,no,no
31,management,married,Secondary_Education,no,no,no,no
40,entrepreneur,married,Secondary_Education,no,no,no,no
44,blue-collar,single,Secondary_Education,no,no,no,no
47,services,divorced,Secondary_Education,no,no,no,no
35,entrepreneur,single,Professional_Education,no,no,no,no
42,admin.,divorced,Tertiary_Education,no,no,no,no
36,admin.,married,Secondary_Education,no,no,no,no
35,technician,married,Primary_Education,no,no,no,no
26,admin.,single,Secondary_Education,no,no,no,no
31,admin.,single,Tertiary_Education,no,yes,yes,no
39,services,married,Secondary_Education,no,no,no,no
43,blue-collar,married,Secondary_Education,no,yes,no,no
50,admin.,married,Tertiary_Education,no,no,no,no
39,blue-collar,divorced,Secondary_Education,no,no,no,no
36,housemaid,married,Primary_Education,no,yes,no,no
27,admin.,single,Secondary_Education,no,yes,no,no
31,admin.,single,Tertiary_Education,no,no,no,yes
28,blue-collar,married,Primary_Education,no,no,no,no
31,management,single,Tertiary_Education,no,yes,no,no
30,management,divorced,Secondary_Education,no,no,yes,no
52,technician,married,Professional_Education,no,yes,no,no
37,technician,divorced,Professional_Education,no,no,no,no
30,services,married,Tertiary_Education,no,yes,no,no
54,technician,married,Tertiary_Education,no,yes,no,no
49,entrepreneur,married,Secondary_Education,no,yes,no,no
44,admin.,married,Secondary_Education,no,no,no,no
53,technician,married,Secondary_Education,no,yes,no,no
43,technician,married,Professional_Education,no,yes,no,no
31,admin.,single,Tertiary_Education,no,yes,no,no
38,technician,married,Professional_Education,no,no,no,no
50,entrepreneur,married,Secondary_Education,no,yes,yes,no
24,services,single,Secondary_Education,no,no,no,no
34,admin.,single,Secondary_Education,no,yes,no,no
40,technician,married,Professional_Education,no,yes,no,no
57,management,divorced,Tertiary_Education,no,yes,no,no
31,services,married,Primary_Education,no,yes,no,no
38,admin.,married,Tertiary_Education,no,no,no,no
41,entrepreneur,married,Tertiary_Education,no,yes,no,yes
42,blue-collar,married,Primary_Education,no,no,no,no
40,management,married,Tertiary_Education,no,yes,no,no
42,blue-collar,married,Primary_Education,no,no,no,no
48,admin.,single,Tertiary_Education,no,yes,no,no
33,blue-collar,married,Secondary_Education,no,yes,no,no
37,technician,married,Professional_Education,no,yes,no,no
43,technician,married,Professional_Education,no,yes,no,no
46,admin.,divorced,Tertiary_Education,no,yes,no,no
40,blue-collar,married,Secondary_Education,no,yes,no,no
40,blue-collar,married,Secondary_Education,no,yes,no,no
43,technician,single,Tertiary_Education,no,no,no,no
44,blue-collar,married,Primary_Education,no,yes,yes,no
44,blue-collar,married,Primary_Education,no,yes,no,yes
41,admin.,married,Tertiary_Education,no,yes,no,no
31,admin.,single,Secondary_Education,no,yes,no,no
27,blue-collar,married,Secondary_Education,no,yes,no,no
43,technician,single,Tertiary_Education,no,yes,no,no
29,technician,married,Professional_Education,no,yes,no,no
54,admin.,married,Tertiary_Education,no,no,no,no
36,technician,married,Professional_Education,no,no,no,no
30,admin.,single,Tertiary_Education,no,no,no,no
39,blue-collar,married,Primary_Education,no,no,no,no
33,blue-collar,married,Secondary_Education,no,no,no,no
39,retired,single,Secondary_Education,no,yes,no,no
38,technician,single,Professional_Education,no,no,no,no
44,admin.,married,Secondary_Education,no,yes,no,no
33,blue-collar,married,Secondary_Education,no,yes,no,no
37,blue-collar,married,Primary_Education,no,no,no,no
32,management,married,Primary_Education,no,no,no,no
46,technician,married,Professional_Education,no,yes,no,no
34,technician,divorced,Professional_Education,no,yes,no,no
32,technician,single,Professional_Education,no,no,no,no
31,blue-collar,single,Secondary_Education,no,no,no,no
59,services,divorced,Secondary_Education,no,no,no,no
40,blue-collar,married,Primary_Education,no,no,no,no
46,admin.,married,Professional_Education,no,no,no,no
35,admin.,single,Secondary_Education,no,no,no,no
28,blue-collar,married,Secondary_Education,no,no,yes,no
35,blue-collar,married,Primary_Education,no,yes,no,no
48,retired,married,Secondary_Education,no,yes,no,no
32,services,single,Secondary_Education,no,yes,no,no
59,retired,divorced,Primary_Education,no,yes,no,no
49,blue-collar,single,Primary_Education,no,yes,no,no
51,admin.,married,Tertiary_Education,no,yes,no,no
38,technician,single,Tertiary_Education,no,yes,no,no
53,technician,married,Secondary_Education,no,yes,no,no
49,blue-collar,married,Secondary_Education,no,yes,no,no
31,blue-collar,married,Secondary_Education,no,yes,yes,no
29,admin.,single,Secondary_Education,no,yes,no,no
35,admin.,married,Secondary_Education,no,yes,no,no
38,blue-collar,married,Secondary_Education,no,no,no,no
48,management,divorced,Tertiary_Education,no,yes,no,no
51,blue-collar,married,Secondary_Education,no,no,no,no
52,technician,married,Secondary_Education,no,yes,no,no
45,blue-collar,single,Primary_Education,no,yes,no,no
